product_name,creator_name,category,subcategory,price_usd,original_price,currency,average_rating,total_reviews,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,mixed_review_percent,sales_count,estimated_revenue,product_url
Armorsmith Designer,The Armored Garage,design,design,40.0,$40,USD,4.4,501,10,2,3,5,80,2.0,28133,1125320.0,https://thearmoredgarage.gumroad.com/l/LMdGL?layout=discover&recommended_by=discover
"Iconly Pro Lifetime Access 40,000+ icons",Iconly Pro,design,design,189.0,$189,USD,5.0,2,0,0,0,0,100,0.0,167,31563.0,https://iconly.gumroad.com/l/iconlyprolifetime?layout=discover&recommended_by=discover
Mosh-Pro,Airtight Interactive,design,design,49.0,$49,USD,4.9,569,0,0,1,3,96,0.7,12623,618527.0,https://airtight.gumroad.com/l/kqeYS?layout=discover&recommended_by=discover
Logo Package Express 3.0,Logo Package,design,design,149.0,$149,USD,4.9,107,2,0,0,4,94,3.74,5806,865094.0,https://logopackage.gumroad.com/l/logoPackageExpress3?layout=discover&recommended_by=discover
No Code Flow [Webflow Components],No Code Flow,design,design,150.0,$150 a year,USD,5.0,13,0,0,0,0,100,0.0,,,https://nocodeflow.gumroad.com/l/dynamic-map-for-webflow?layout=discover&recommended_by=discover
TMS Research Report,The Master Slides,design,design,0.0,$0+ a month,USD,4.9,33,0,0,3,0,97,9.09,,,https://themasterslides.gumroad.com/l/researchreport?layout=discover&recommended_by=discover
"Iconly Pro Subscription 40,000+ icons",Iconly Pro,design,design,12.0,$12 a month,USD,3.9,7,29,0,0,0,71,0.0,,,https://iconly.gumroad.com/l/iconlypro?layout=discover&recommended_by=discover
Mosh-Pro Yearly Subscription,Airtight Interactive,design,design,24.0,$24 a year,USD,4.9,75,1,0,0,0,99,0.0,,,https://airtight.gumroad.com/l/ZDXrb?layout=discover&recommended_by=discover
Unknown,Surviving Architecture,design,design,12.69,£9.99,GBP,5.0,2,0,0,0,0,100,0.0,303,3845.07,https://survivingarchitectur.gumroad.com/l/nmytq?layout=discover&recommended_by=search
Unknown,Brandon LaChappelle,design,design,4.0,$4,USD,4.4,7,14,0,0,0,86,0.0,,,https://brandonlachappelle.gumroad.com/l/foundations?layout=discover&recommended_by=search
